"priority","document","id","grade","page","categories","warnings","source_pdf","text"
"focused-review","14. Children and Adolescents","14.90","B","15","Children and adolescents","","guidelines-sources/ADA/2025/14. Children and Adolescents.pdf","Evaluate for polycystic ovary syndrome in female adolescents with type 2 diabetes, including laboratory studies, when indicated."
"focused-review","14. Children and Adolescents","14.91","E","15","Insulin or high-risk glucose-lowering medication","","guidelines-sources/ADA/2025/14. Children and Adolescents.pdf","Metformin, in addition to lifestyle modification, is likely to improve the menstrual cyclicity and hyperandrogenism in female individuals with type 2 diabetes."
"focused-review","14. Children and Adolescents","14.92","E","15","Cardiovascular disease and BP/lipids","","guidelines-sources/ADA/2025/14. Children and Adolescents.pdf","Intensive lifestyle interventions focusing on weight loss, dyslipidemia, hypertension, and dysglycemia are important to prevent overt macrovascular disease in early adulthood."
"focused-review","14. Children and Adolescents","14.93","B","15","Cardiovascular disease and BP/lipids","","guidelines-sources/ADA/2025/14. Children and Adolescents.pdf","Lipid screening should be performed initially after optimizing glycemia and annually thereafter."
"focused-review","14. Children and Adolescents","14.102","C","16","Children and adolescents","","guidelines-sources/ADA/2025/14. Children and Adolescents.pdf","Adolescents and young adults should be screened for tobacco or nicotine, electronic cigarettes, substance use, and alcohol use at diagnosis and regularly thereafter."
"focused-review","14. Children and Adolescents","14.105","E","16","Children and adolescents","","guidelines-sources/ADA/2025/14. Children and Adolescents.pdf","Advise all youth with diabetes not to use cannabis recreationally in any form."
"focused-review","14. Children and Adolescents","14.106","E","17","Children and adolescents","","guidelines-sources/ADA/2025/14. Children and Adolescents.pdf","Diabetes care teams should implement transition preparation programs for youth beginning in early adolescence and, at the latest, at least 1 year before the anticipated transfer from pediatric to adult health care."
"focused-review","14. Children and Adolescents","14.107","C","17","Children and adolescents","","guidelines-sources/ADA/2025/14. Children and Adolescents.pdf","Interprofessional adult and pediatric health care teams should provide support and resources for adolescents, young adults, and their families prior to and during the transfer process from pediatric to adult health care."
"focused-review","15. Management of Diabetes in Pregnancy","15.4","A","2","Pregnancy and childbearing","","guidelines-sources/ADA/2025/15. Management of Diabetes in Pregnancy.pdf","Individuals with a history of gestational diabetes mellitus (GDM) should seek preconception screening for diabetes and preconception care to identify and treat hyperglycemia and prevent congenital malformations. E Preconception counseling for pregnant people with preexisting type 1 or type 2 diabetes is highly effective in reducing the risk of congenital malformations and decreasing the risk of preterm delivery and admission to neonatal intensive care units. Preconception counseling is also associated with reductions in perinatal mortality and small-for-gestational-age birth weight (3)."
"focused-review","15. Management of Diabetes in Pregnancy","15.5","B","2","Pregnancy and childbearing","","guidelines-sources/ADA/2025/15. Management of Diabetes in Pregnancy.pdf","Individuals with preexisting diabetes who are planning a pregnancy should ideally begin receiving interprofessional care for preconception, which includes an endocrinology health care professional, maternal-fetal medicine specialist, registered dietitian nutritionist, and diabetes care and education specialist, when available."
"focused-review","15. Management of Diabetes in Pregnancy","15.6","B","2","Pregnancy and childbearing","","guidelines-sources/ADA/2025/15. Management of Diabetes in Pregnancy.pdf","In addition to focused attention on achieving glycemic goals, A standard preconception care should be augmented with extra focus on nutrition, physical activity, diabetes self-care education, and screening for diabetes comorbidities and complications."
"focused-review","15. Management of Diabetes in Pregnancy","15.15","A","6","Insulin or high-risk glucose-lowering medication","","guidelines-sources/ADA/2025/15. Management of Diabetes in Pregnancy.pdf","Lifestyle behavior change is an essential component of management of GDM and may suffice as treatment for many individuals. Insulin should be added if needed to achieve glycemic goals."
"focused-review","15. Management of Diabetes in Pregnancy","15.17","B","6","Insulin or high-risk glucose-lowering medication","","guidelines-sources/ADA/2025/15. Management of Diabetes in Pregnancy.pdf","Insulin should be used to manage type 1 diabetes in pregnancy A and is the preferred agent for the management of GDM A and type 2 diabetes in pregnancy."
"focused-review","15. Management of Diabetes in Pregnancy","15.25a","B","9","Pregnancy and childbearing","","guidelines-sources/ADA/2025/15. Management of Diabetes in Pregnancy.pdf","Potentially harmful medications in pregnancy (e.g., ACE inhibitors, angiotensin receptor blockers, mineralocorticoid receptor antagonists) should be stopped prior to conception and avoided in sexually active individuals of childbearing potential who are not using reliable contraception."
"focused-review","15. Management of Diabetes in Pregnancy","15.27","A","10","Pregnancy and childbearing","","guidelines-sources/ADA/2025/15. Management of Diabetes in Pregnancy.pdf","A contraceptive plan should be discussed and implemented with all people with diabetes of childbearing potential."
"focused-review","15. Management of Diabetes in Pregnancy","15.28","B","10","Pregnancy and childbearing","","guidelines-sources/ADA/2025/15. Management of Diabetes in Pregnancy.pdf","Breastfeeding efforts are recommended for all individuals with diabetes. A Breastfeeding is recommended for individuals with a history of GDM for multiple benefits, A including a reduced risk for type 2 diabetes later in life."
"focused-review","15. Management of Diabetes in Pregnancy","15.29","E","10","Pregnancy and childbearing","","guidelines-sources/ADA/2025/15. Management of Diabetes in Pregnancy.pdf","Postpartum care should include psychosocial assessment and support for self-care."
"focused-review","15. Management of Diabetes in Pregnancy","15.32","A","10","Insulin or high-risk glucose-lowering medication","","guidelines-sources/ADA/2025/15. Management of Diabetes in Pregnancy.pdf","Individuals with overweight or obesity and a history of GDM found to have prediabetes should receive intensive lifestyle interventions and/or metformin to prevent diabetes."
"focused-review","16. Diabetes Care in the Hospital","16.8b","A","4","Insulin or high-risk glucose-lowering medication","","guidelines-sources/ADA/2025/16. Diabetes Care in the Hospital.pdf","Basal insulin or a basal plus bolus correction insulin plan is the preferred treatment for noncritically ill hospitalized individuals with poor or no oral intake."
"focused-review","16. Diabetes Care in the Hospital","16.9","A","4","Insulin or high-risk glucose-lowering medication","","guidelines-sources/ADA/2025/16. Diabetes Care in the Hospital.pdf","An insulin plan with basal, prandial, and correction components is the preferred treatment for most noncritically ill hospitalized individuals with adequate nutritional intake."
"focused-review","16. Diabetes Care in the Hospital","16.15","B","8","Acute emergency risk","","guidelines-sources/ADA/2025/16. Diabetes Care in the Hospital.pdf","The discharge planning process should include education on the recognition, prevention, and management of DKA and/or HHS for all individuals affected by or at high risk for these events to prevent recurrence and readmission."
"critical-review","5. Facilitating Positive Health Behaviors and Well-being to Improve Health Outcomes Standards of Care in Diabetes2025","5.59","E","27","Older adults, frailty, and deintensification","missing-spaces","guidelines-sources/ADA/2025/5. Facilitating Positive Health Behaviors and Well-being to Improve Health Outcomes Standards of Care in Diabetes2025.pdf","If cognitive capacity changes or appears to be suboptimal for decisionmaking and/or behavioral self-management, referral for a formal assessment should be considered."
"critical-review","7. Diabetes Technology Standards of Care in Diabetes 2025","7.15","A","4","Procedures, surgery, technology, or devices","very-short","guidelines-sources/ADA/2025/7. Diabetes Technology Standards of Care in Diabetes 2025.pdf","Recommend real-time CGM (rtCGM)"
"critical-review","15. Management of Diabetes in Pregnancy","15.12","E","4","Procedures, surgery, technology, or devices","hyphenation-fragments","guidelines-sources/ADA/2025/15. Management of Diabetes in Pregnancy.pdf","CGM metrics may be used in combination with blood glucose monitoring to achieve optimal pre- and postprandial glycemic goals."
